Count,Filename_0_0,Filename_0_1,Time_0_0,Time_0_1
19,D:/202412051/t1\t1-00000019_0.tif,D:/202412051/t1\t1-00000019_1.tif,418.220142,418.220948
20,D:/202412051/t1\t1-00000020_0.tif,D:/202412051/t1\t1-00000020_1.tif,418.320201,418.320765
21,D:/202412051/t1\t1-00000021_0.tif,D:/202412051/t1\t1-00000021_1.tif,418.420188,418.420623
22,D:/202412051/t1\t1-00000022_0.tif,D:/202412051/t1\t1-00000022_1.tif,418.520142,418.520642
23,D:/202412051/t1\t1-00000023_0.tif,D:/202412051/t1\t1-00000023_1.tif,418.620166,418.620599
24,D:/202412051/t1\t1-00000024_0.tif,D:/202412051/t1\t1-00000024_1.tif,418.720386,418.720648
25,D:/202412051/t1\t1-00000025_0.tif,D:/202412051/t1\t1-00000025_1.tif,418.820282,418.820620
26,D:/202412051/t1\t1-00000026_0.tif,D:/202412051/t1\t1-00000026_1.tif,418.920151,418.920743
27,D:/202412051/t1\t1-00000027_0.tif,D:/202412051/t1\t1-00000027_1.tif,419.020337,419.020627
28,D:/202412051/t1\t1-00000028_0.tif,D:/202412051/t1\t1-00000028_1.tif,419.120401,419.120752
29,D:/202412051/t1\t1-00000029_0.tif,D:/202412051/t1\t1-00000029_1.tif,419.220460,419.220688
